title,author,length
76. Funny Story,Written by: Emily Henry,Length: 11 hrs and 23 mins
"77. Harry Potter and the Half-Blood Prince, Book 6",Written by: J.K. Rowling,Length: 20 hrs and 31 mins
78. How to Know a Person,Written by: David Brooks,Length: 7 hrs and 27 mins
79. Sapiens,Written by: Yuval Noah Harari,Length: 21 hrs and 42 mins
80. War of Lanka (Hindi Edition),Written by: Amish Tripathi,Length: 17 hrs and 15 mins
"81. Harry Potter and the Chamber of Secrets, Book 2",Written by: J.K. Rowling,Length: 9 hrs and 43 mins
82. The Silva Method,Written by: Ph.D Robert B. Stone,Length: 6 hrs and 57 mins
83. The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,Written by: MJ DeMarco,Length: 12 hrs and 46 mins
84. Raising Mentally Strong Kids,"Written by: Daniel G. Amen M.D., Charles Fay Ph.D",Length: 11 hrs and 17 mins
85. Bridgerton: Romancing Mister Bridgerton,Written by: Julia Quinn,Length: 13 hrs and 17 mins
86. Hidden Potential,Written by: Adam Grant,Length: 7 hrs and 21 mins
87. The Monk Who Sold His Ferrari (Hindi),Written by: Robin Sharma,Length: 9 hrs and 2 mins
88. The Dark Forest,"Written by: Cixin Liu, Joel Martinsen - translator",Length: 21 hrs and 54 mins
"89. Men Are from Mars, Women Are from Venus",Written by: John Gray,Length: 9 hrs and 28 mins
90. Clear Thinking,Written by: Shane Parrish,Length: 6 hrs and 41 mins
91. Jeevan Ke Arth Ki Talaash Me Manushya [Man's Search for Meaning],Written by: Viktor E Frankl,Length: 7 hrs and 33 mins
92. The Power of Habit,Written by: Charles Duhigg,Length: 10 hrs and 53 mins
93. The Power of Habit (Hindi Edition),Written by: Charles Duhigg,Length: 13 hrs and 23 mins
94. Mindset,Written by: Carol Dweck,Length: 8 hrs and 34 mins
95. Influence,Written by: Robert B. Cialdini,Length: 12 hrs and 25 mins
96. The Greatest Secret,Written by: Rhonda Byrne,Length: 6 hrs and 20 mins
97. #Tatastories,Written by: Harish Bhat,Length: 6 hrs and 33 mins
98. Before the Coffee Gets Cold,"Written by: Toshikazu Kawaguchi, Geoffrey Trousselot - translator",Length: 6 hrs and 52 mins
99. The Steal Like an Artist Audio Trilogy,Written by: Austin Kleon,Length: 4 hrs and 32 mins
100. Outlive,"Written by: Peter Attia, Bill Gifford",Length: 17 hrs and 8 mins
