Date,Home_Team,Score,Away_Team
12-08-2023,Brentford,0 - 1,Arsenal
12-08-2023,Brentford,3 - 1,Luton
12-08-2023,Brighton,2 - 1,Brentford
12-08-2023,Sheffield United,1 - 0,Brentford
12-08-2023,Brentford,1 - 2,Aston Villa
12-08-2023,Brentford,1 - 4,Wolves
12-08-2023,Crystal Palace,3 - 1,Brentford
12-08-2023,Brentford,3 - 2,Nott'm Forest
12-08-2023,Tottenham,3 - 2,Brentford
12-08-2023,Brentford,1 - 3,Man City
12-08-2023,Wolves,0 - 2,Brentford
12-08-2023,Brentford,1 - 4,Liverpool
12-08-2023,Man City,1 - 0,Brentford
12-08-2023,West Ham,4 - 2,Brentford
12-08-2023,Brentford,2 - 2,Chelsea
12-08-2023,Arsenal,2 - 1,Brentford
12-08-2023,Burnley,2 - 1,Brentford
12-08-2023,Brentford,1 - 1,Man United
12-08-2023,Brentford,0 - 0,Brighton
12-08-2023,Aston Villa,3 - 3,Brentford
12-08-2023,Brentford,2 - 0,Sheffield United
12-08-2023,Luton,1 - 5,Brentford
12-08-2023,Everton,1 - 0,Brentford
12-08-2023,Brentford,0 - 0,Fulham
12-08-2023,Bournemouth,1 - 2,Brentford
12-08-2023,Brentford,2 - 4,Newcastle
12-08-2023,Brighton,4 - 1,Luton
12-08-2023,Wolves,1 - 4,Brighton
12-08-2023,Brighton,1 - 3,West Ham
12-08-2023,Brighton,3 - 1,Newcastle
12-08-2023,Man United,1 - 3,Brighton
12-08-2023,Brighton,3 - 1,Bournemouth
12-08-2023,Aston Villa,6 - 1,Brighton
12-08-2023,Brighton,2 - 2,Liverpool
12-08-2023,Man City,2 - 1,Brighton
12-08-2023,Brighton,1 - 1,Fulham
12-08-2023,Everton,1 - 1,Brighton
12-08-2023,Brighton,1 - 1,Sheffield United
12-08-2023,Nott'm Forest,2 - 3,Brighton
12-08-2023,Chelsea,3 - 2,Brighton
12-08-2023,Brighton,2 - 1,Brentford
12-08-2023,Brighton,1 - 1,Burnley
12-08-2023,Arsenal,2 - 0,Brighton
12-08-2023,Crystal Palace,1 - 1,Brighton
12-08-2023,Brighton,4 - 2,Tottenham
12-08-2023,West Ham,0 - 0,Brighton
12-08-2023,Brighton,0 - 0,Wolves
12-08-2023,Luton,4 - 0,Brighton
12-08-2023,Brighton,4 - 1,Crystal Palace
12-08-2023,Tottenham,2 - 1,Brighton
12-08-2023,Sheffield United,0 - 5,Brighton
12-08-2023,Brighton,1 - 1,Everton
12-08-2023,Fulham,3 - 0,Brighton
12-08-2023,Brighton,1 - 0,Nott'm Forest
12-08-2023,Liverpool,2 - 1,Brighton
12-08-2023,Brentford,0 - 0,Brighton
12-08-2023,Brighton,0 - 3,Arsenal
12-08-2023,Burnley,1 - 1,Brighton
12-08-2023,Brighton,0 - 4,Man City
12-08-2023,Bournemouth,3 - 0,Brighton
12-08-2023,Brighton,1 - 0,Aston Villa
12-08-2023,Newcastle,1 - 1,Brighton
12-08-2023,Brighton,1 - 2,Chelsea
12-08-2023,Brighton,0 - 2,Man United
12-08-2023,Burnley,0 - 3,Man City
12-08-2023,Burnley,1 - 3,Aston Villa
12-08-2023,Burnley,2 - 5,Tottenham
12-08-2023,Nott'm Forest,1 - 1,Burnley
12-08-2023,Burnley,0 - 1,Man United
12-08-2023,Newcastle,2 - 0,Burnley
12-08-2023,Luton,1 - 2,Burnley
12-08-2023,Burnley,1 - 4,Chelsea
12-08-2023,Brentford,3 - 0,Burnley
12-08-2023,Bournemouth,2 - 1,Burnley
12-08-2023,Burnley,0 - 2,Crystal Palace
12-08-2023,Arsenal,3 - 1,Burnley
12-08-2023,Burnley,1 - 2,West Ham
12-08-2023,Burnley,5 - 0,Sheffield United
12-08-2023,Wolves,1 - 0,Burnley
12-08-2023,Brighton,1 - 1,Burnley
12-08-2023,Burnley,0 - 2,Everton
12-08-2023,Fulham,0 - 2,Burnley
12-08-2023,Burnley,0 - 2,Liverpool
12-08-2023,Aston Villa,3 - 2,Burnley
12-08-2023,Burnley,1 - 1,Luton
12-08-2023,Man City,3 - 1,Burnley
12-08-2023,Burnley,2 - 2,Fulham
12-08-2023,Liverpool,3 - 1,Burnley
12-08-2023,Burnley,0 - 5,Arsenal
